Course title,Course_Type,Organization,Skills,Workload,Difficulty_level,Language,Course_link,Ratings,Review count,Payment_Model
SPSS: Apply & Interpret Logistic Regression Models,Individual Course,EDUCBA,"Logistic Regression, Model Evaluation",,N/A,en,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models,5.0,13,Free Audit / Pay for Cert
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,Individual Course,Google Cloud,"Cloud Computing, Computer Security And Networks",1 hour 30 minutes,Intermediate,en,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml,N/A,0,Free Audit / Pay for Cert
Getting started with the Vertex AI Gemini 1.5 Pro Model,Individual Course,Google Cloud,"Cloud Computing, Machine Learning",1 hour 30 minutes,Beginner,en,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr,N/A,0,Free Audit / Pay for Cert
Overcoming  Challenges in Self and Society,Individual Course,University of Colorado System,"Adaptability, Community Development, Compassion, Cultural Diversity, Empowerment, Growth Mindedness, Mindfulness, Overcoming Obstacles, Persistence, Personal Development, Resilience","4 weeks of study, 2-4 hours a week",Beginner,en,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society,N/A,1,Free Audit / Pay for Cert
Intégrer des applications dans votre Dashboard Hootsuite,Individual Course,Coursera,"Marketing, Design And Product",2 heures,Beginner,fr,https://www.coursera.org/learn/integrer-applications-dashboard-hootsuite,N/A,0,Free Audit / Pay for Cert
كيفية استعمال التطبيق هووتسويت,Individual Course,Coursera,"Marketing, Business Strategy",2 hours,Beginner,ar,https://www.coursera.org/learn/getting-started-with-hootsuite-ar,N/A,0,Free Audit / Pay for Cert
Gamification,Individual Course,University of Pennsylvania,"Behavior Management, Behavioral Economics, Customer Engagement, Design Thinking, Drive Engagement, Employee Engagement, Game Design, Marketing, Motivational Skills, Project Design, Psychology, Social Impact, Training and Development",4-8 hours/week,N/A,en,https://www.coursera.org/learn/gamification,4.8,2448,Free Audit / Pay for Cert
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Individual Course,Pearson,"Continuous Monitoring, Cyber Security Strategy, Patch Management, Security Strategy",4h 30m,Intermediate,en,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z,N/A,6,Free Audit / Pay for Cert
Dealing With Missing Data,Individual Course,"University of Maryland, College Park","Data Analysis, Data Cleansing, Data Quality, Data Transformation, R (Software), R Programming, Regression Analysis, STATA (Software), Sampling (Statistics), Statistical Analysis, Statistical Methods, Statistical Modeling, Statistical Software","4 weeks of study, 1-2 hours/week",N/A,en,https://www.coursera.org/learn/missing-data,3.8,138,Free Audit / Pay for Cert
Unordered Data Structures,Individual Course,University of Illinois Urbana-Champaign,"Algorithms, Data Structures, Graph Theory, Network Routing, Unstructured Data",,N/A,en,https://www.coursera.org/learn/cs-fundamentals-3,4.7,557,Free Audit / Pay for Cert
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,Individual Course,Google Cloud,"Cloud Computing, Data Management",1.5 hours,Advanced,en,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm,4.1,8,Free Audit / Pay for Cert
Vital Signs: Understanding What the Body Is Telling Us,Individual Course,University of Pennsylvania,"Anatomy, Cardiology, Clinical Assessment, Health Assessment, Neurology, Pain Management, Patient Evaluation, Physiology, Pulmonology, Respiration, Respiratory Care, Thermal Management, Vital Signs",3-5 hours/week,N/A,en,https://www.coursera.org/learn/vital-signs,4.8,6913,Free Audit / Pay for Cert
