Course title,Course_Type,Organization,Skills,Workload,Difficulty_level,Language,Course_link,Ratings,Review count,Payment_Model
SPSS: Apply & Interpret Logistic Regression Models,Individual Course,EDUCBA,Data Analysis,,N/A,en,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models,5.0,13,Free Audit / Pay for Cert
Getting started with the Vertex AI Gemini 1.5 Pro Model,Individual Course,Google Cloud,"Cloud Computing, Machine Learning",1 hour 30 minutes,Beginner,en,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr,N/A,0,Free Audit / Pay for Cert
Overcoming  Challenges in Self and Society,Individual Course,University of Colorado System,"Personal Development, History","4 weeks of study, 2-4 hours a week",Beginner,en,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society,N/A,1,Free Audit / Pay for Cert
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,Individual Course,Google Cloud,"Cloud Computing, Computer Security And Networks",1 hour 30 minutes,Intermediate,en,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml,N/A,0,Free Audit / Pay for Cert
Intégrer des applications dans votre Dashboard Hootsuite,Individual Course,Coursera,"Marketing, Design And Product",2 heures,Beginner,fr,https://www.coursera.org/learn/integrer-applications-dashboard-hootsuite,N/A,0,Free Audit / Pay for Cert
Gamification,Individual Course,University of Pennsylvania,"Design And Product, Marketing",4-8 hours/week,N/A,en,https://www.coursera.org/learn/gamification,4.8,2448,Free Audit / Pay for Cert
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Individual Course,Pearson,Security,4h 30m,Intermediate,en,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z,N/A,5,Free Audit / Pay for Cert
كيفية استعمال التطبيق هووتسويت,Individual Course,Coursera,"Marketing, Business Strategy",2 hours,Beginner,ar,https://www.coursera.org/learn/getting-started-with-hootsuite-ar,N/A,0,Free Audit / Pay for Cert
Dealing With Missing Data,Individual Course,"University of Maryland, College Park","Data Analysis, Governance And Society","4 weeks of study, 1-2 hours/week",N/A,en,https://www.coursera.org/learn/missing-data,3.8,138,Free Audit / Pay for Cert
Unordered Data Structures,Individual Course,University of Illinois Urbana-Champaign,Software Development,,N/A,en,https://www.coursera.org/learn/cs-fundamentals-3,4.7,557,Free Audit / Pay for Cert
Vital Signs: Understanding What the Body Is Telling Us,Individual Course,University of Pennsylvania,Patient Care,3-5 hours/week,N/A,en,https://www.coursera.org/learn/vital-signs,4.8,6911,Free Audit / Pay for Cert
FinTech Disruptive Innovation: Implications for Society,Individual Course,The Hong Kong University of Science and Technology,"Finance, Business Strategy","Around 4 hours of videos in total, plus a final project requiring about 5 hours to complete.",Beginner,en,https://www.coursera.org/learn/fintech-disruption,4.8,109,Free Audit / Pay for Cert
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,Individual Course,Google Cloud,"Cloud Computing, Data Management",1.5 hours,Advanced,en,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm,4.1,8,Free Audit / Pay for Cert
The Linux Essentials,Individual Course,Packt,"Support And Operations, Security",,Beginner,en,https://www.coursera.org/learn/packt-the-linux-essentials-yafiq,N/A,0,Free Audit / Pay for Cert
Develop Code with Gemini in BigQuery,Individual Course,Google Cloud,"Cloud Computing, Data Analysis",1 hour 30 minutes,Beginner,en,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o,N/A,0,Free Audit / Pay for Cert
Get Started with iOS App Development ,Individual Course,SkillUp,"Mobile And Web Development, Software Development","3 weeks of study, 1–2 hours per week",Beginner,en,https://www.coursera.org/learn/get-started-with-ios-app-development,4.4,30,Free Audit / Pay for Cert
Inteligencia Artificial Generativa para Docentes,Individual Course,Universidades Anáhuac,"Education, Cloud Computing",,Beginner,es,https://www.coursera.org/learn/inteligencia-artificial-generativa-para-docentes,4.5,29,Free Audit / Pay for Cert
Create Amazing Macros in Affinity Photo,Individual Course,Skillshare,"Music And Art, Design And Product",,Beginner,en,https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo,N/A,0,Free Audit / Pay for Cert
Modern Art & Ideas,Individual Course,The Museum of Modern Art,Music And Art,"5 weeks of study, 2 hours per week",Beginner,en,https://www.coursera.org/learn/modern-art-ideas,4.8,6895,Free Audit / Pay for Cert
"Inventory Management: Analyze, Optimize & Control",Individual Course,EDUCBA,Business Essentials,,N/A,en,https://www.coursera.org/learn/inventory-management-analyze-optimize-control,5.0,13,Free Audit / Pay for Cert
Brand Identity and Vector Graphics,Individual Course,Xbox,"Marketing, Business Strategy","4 weeks of study, 5-6 hours/week",Beginner,en,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics,4.6,16,Free Audit / Pay for Cert
CyberSec First Responder (CFR-310),Individual Course,Packt,"Computer Security And Networks, Security",,Intermediate,en,https://www.coursera.org/learn/packt-cybersec-first-responder-cfr-310-x6eph,N/A,1,Free Audit / Pay for Cert
The Evolving Universe,Individual Course,Caltech,Physics And Astronomy,,N/A,en,https://www.coursera.org/learn/evolvinguniverse,4.6,840,Free Audit / Pay for Cert
Use SurveyMonkey to Create a Survey and Analyze Results,Individual Course,Coursera,"Marketing, Business Essentials",2 hours,Beginner,en,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey,4.6,79,Free Audit / Pay for Cert
Star Schemas & Track Changes,Individual Course,Coursera,"Data Analysis, Data Management",106 minutes,Intermediate,en,https://www.coursera.org/learn/star-schemas--track-changes,N/A,0,Free Audit / Pay for Cert
Performing Data Aggregation using SQL Aggregate Functions,Individual Course,Coursera,"Data Analysis, Data Management",2 hours,Intermediate,en,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions,4.7,9,Free Audit / Pay for Cert
Inteligencia Artificial para personajes en Unreal Engine,Individual Course,SAE Institute México,Software Development,5 Horas,Beginner,es,https://www.coursera.org/learn/inteligencia-artificial-para-personajes-en-unreal-engine,N/A,0,Free Audit / Pay for Cert
Advancing Mask Technology for Semiconductors,Individual Course,Coursera,"Electrical Engineering, Mechanical Engineering",2 Hour,Intermediate,en,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors,N/A,3,Free Audit / Pay for Cert
Developing AI Policy,Individual Course,Fred Hutchinson Cancer Center,"Machine Learning, Software Development",1-2 hours,Beginner,en,https://www.coursera.org/learn/developing-ai-policy,4.2,23,Free Audit / Pay for Cert
Adobe Dreamweaver CC (2017): Part 1,Individual Course,Logical Operations,"Design And Product, Mobile And Web Development",,N/A,en,https://www.coursera.org/learn/adobe-dreamweaver-cc-2017-lo092005,N/A,0,Free Audit / Pay for Cert
GenAI for Talent Acquisition: Smarter Candidate Screening,Individual Course,Coursera,"Machine Learning, Probability And Statistics",3 Hours,Intermediate,en,https://www.coursera.org/learn/genai-for-talent-acquisition-smarter-candidate-screening,N/A,7,Free Audit / Pay for Cert
Оценка облигаций,Individual Course,Coursera,"Finance, Business Essentials",2 часа,Intermediate,ru,https://www.coursera.org/learn/bonds-fixed-income-mathematics-ru,4.8,1,Free Audit / Pay for Cert
Machine Learning in the Enterprise - Français,Individual Course,Google Cloud,"Machine Learning, Cloud Computing","3 weeks of study, 5-7 hours per week",Intermediate,fr,https://www.coursera.org/learn/machine-learning-in-enterprise-fr,N/A,1,Free Audit / Pay for Cert
