Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
SPSS: Apply & Interpret Logistic Regression Models,Data Analysis,EDUCBA,5.0,13,,,,en,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models,Free Audit / Pay for Cert,Individual Course
Getting started with the Vertex AI Gemini 1.5 Pro Model,"Cloud Computing, Machine Learning",Google Cloud,,0,1 hour 30 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr,Free Audit / Pay for Cert,Individual Course
Overcoming  Challenges in Self and Society,"Personal Development, History",University of Colorado System,,1,"4 weeks of study, 2-4 hours a week",12.0,Beginner,en,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society,Free Audit / Pay for Cert,Individual Course
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,"Cloud Computing, Computer Security And Networks",Google Cloud,,0,1 hour 30 minutes,1.5,Intermediate,en,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml,Free Audit / Pay for Cert,Individual Course
Intégrer des applications dans votre Dashboard Hootsuite,"Marketing, Design And Product",Coursera,,0,2 heures,2.0,Beginner,fr,https://www.coursera.org/learn/integrer-applications-dashboard-hootsuite,Free Audit / Pay for Cert,Individual Course
Gamification,"Design And Product, Marketing",University of Pennsylvania,4.8,2448,4-8 hours/week,6.0,,en,https://www.coursera.org/learn/gamification,Free Audit / Pay for Cert,Individual Course
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Security,Pearson,,5,4h 30m,4.5,Intermediate,en,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z,Free Audit / Pay for Cert,Individual Course
كيفية استعمال التطبيق هووتسويت,"Marketing, Business Strategy",Coursera,,0,2 hours,2.0,Beginner,ar,https://www.coursera.org/learn/getting-started-with-hootsuite-ar,Free Audit / Pay for Cert,Individual Course
Dealing With Missing Data,"Data Analysis, Governance And Society","University of Maryland, College Park",3.8,138,"4 weeks of study, 1-2 hours/week",6.0,,en,https://www.coursera.org/learn/missing-data,Free Audit / Pay for Cert,Individual Course
Unordered Data Structures,Software Development,University of Illinois Urbana-Champaign,4.7,557,,,,en,https://www.coursera.org/learn/cs-fundamentals-3,Free Audit / Pay for Cert,Individual Course
Vital Signs: Understanding What the Body Is Telling Us,Patient Care,University of Pennsylvania,4.8,6911,3-5 hours/week,4.0,,en,https://www.coursera.org/learn/vital-signs,Free Audit / Pay for Cert,Individual Course
FinTech Disruptive Innovation: Implications for Society,"Finance, Business Strategy",The Hong Kong University of Science and Technology,4.8,109,"Around 4 hours of videos in total, plus a final project requiring about 5 hours to complete.",4.0,Beginner,en,https://www.coursera.org/learn/fintech-disruption,Free Audit / Pay for Cert,Individual Course
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,"Cloud Computing, Data Management",Google Cloud,4.1,8,1.5 hours,1.5,Advanced,en,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm,Free Audit / Pay for Cert,Individual Course
The Linux Essentials,"Support And Operations, Security",Packt,,0,,,Beginner,en,https://www.coursera.org/learn/packt-the-linux-essentials-yafiq,Free Audit / Pay for Cert,Individual Course
Develop Code with Gemini in BigQuery,"Cloud Computing, Data Analysis",Google Cloud,,0,1 hour 30 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o,Free Audit / Pay for Cert,Individual Course
Get Started with iOS App Development ,"Mobile And Web Development, Software Development",SkillUp,4.4,30,"3 weeks of study, 1–2 hours per week",4.5,Beginner,en,https://www.coursera.org/learn/get-started-with-ios-app-development,Free Audit / Pay for Cert,Individual Course
Inteligencia Artificial Generativa para Docentes,"Education, Cloud Computing",Universidades Anáhuac,4.5,29,,,Beginner,es,https://www.coursera.org/learn/inteligencia-artificial-generativa-para-docentes,Free Audit / Pay for Cert,Individual Course
Create Amazing Macros in Affinity Photo,"Music And Art, Design And Product",Skillshare,,0,,,Beginner,en,https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo,Free Audit / Pay for Cert,Individual Course
Modern Art & Ideas,Music And Art,The Museum of Modern Art,4.8,6895,"5 weeks of study, 2 hours per week",10.0,Beginner,en,https://www.coursera.org/learn/modern-art-ideas,Free Audit / Pay for Cert,Individual Course
"Inventory Management: Analyze, Optimize & Control",Business Essentials,EDUCBA,5.0,13,,,,en,https://www.coursera.org/learn/inventory-management-analyze-optimize-control,Free Audit / Pay for Cert,Individual Course
Brand Identity and Vector Graphics,"Marketing, Business Strategy",Xbox,4.6,16,"4 weeks of study, 5-6 hours/week",22.0,Beginner,en,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics,Free Audit / Pay for Cert,Individual Course
CyberSec First Responder (CFR-310),"Computer Security And Networks, Security",Packt,,1,,,Intermediate,en,https://www.coursera.org/learn/packt-cybersec-first-responder-cfr-310-x6eph,Free Audit / Pay for Cert,Individual Course
The Evolving Universe,Physics And Astronomy,Caltech,4.6,840,,,,en,https://www.coursera.org/learn/evolvinguniverse,Free Audit / Pay for Cert,Individual Course
Use SurveyMonkey to Create a Survey and Analyze Results,"Marketing, Business Essentials",Coursera,4.6,79,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey,Free Audit / Pay for Cert,Individual Course
Star Schemas & Track Changes,"Data Analysis, Data Management",Coursera,,0,106 minutes,1.7666666666666666,Intermediate,en,https://www.coursera.org/learn/star-schemas--track-changes,Free Audit / Pay for Cert,Individual Course
Performing Data Aggregation using SQL Aggregate Functions,"Data Analysis, Data Management",Coursera,4.7,9,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions,Free Audit / Pay for Cert,Individual Course
Inteligencia Artificial para personajes en Unreal Engine,Software Development,SAE Institute México,,0,5 Horas,5.0,Beginner,es,https://www.coursera.org/learn/inteligencia-artificial-para-personajes-en-unreal-engine,Free Audit / Pay for Cert,Individual Course
Advancing Mask Technology for Semiconductors,"Electrical Engineering, Mechanical Engineering",Coursera,,3,2 Hour,2.0,Intermediate,en,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors,Free Audit / Pay for Cert,Individual Course
Developing AI Policy,"Machine Learning, Software Development",Fred Hutchinson Cancer Center,4.2,23,1-2 hours,1.5,Beginner,en,https://www.coursera.org/learn/developing-ai-policy,Free Audit / Pay for Cert,Individual Course
Adobe Dreamweaver CC (2017): Part 1,"Design And Product, Mobile And Web Development",Logical Operations,,0,,,,en,https://www.coursera.org/learn/adobe-dreamweaver-cc-2017-lo092005,Free Audit / Pay for Cert,Individual Course
GenAI for Talent Acquisition: Smarter Candidate Screening,"Machine Learning, Probability And Statistics",Coursera,,7,3 Hours,3.0,Intermediate,en,https://www.coursera.org/learn/genai-for-talent-acquisition-smarter-candidate-screening,Free Audit / Pay for Cert,Individual Course
Оценка облигаций,"Finance, Business Essentials",Coursera,4.8,1,2 часа,2.0,Intermediate,ru,https://www.coursera.org/learn/bonds-fixed-income-mathematics-ru,Free Audit / Pay for Cert,Individual Course
Machine Learning in the Enterprise - Français,"Machine Learning, Cloud Computing",Google Cloud,,1,"3 weeks of study, 5-7 hours per week",18.0,Intermediate,fr,https://www.coursera.org/learn/machine-learning-in-enterprise-fr,Free Audit / Pay for Cert,Individual Course
The Zero Trust Framework,Security,Pearson,,1,Less then 2 weeks,20.0,Intermediate,en,https://www.coursera.org/learn/pearson-the-zero-trust-framework-video-course-o5esi,Free Audit / Pay for Cert,Individual Course
Consulting Presentations and Storytelling,"Business Strategy, Leadership And Management",Emory University,4.9,400,,,Beginner,en,https://www.coursera.org/learn/management-consulting-presentations,Free Audit / Pay for Cert,Individual Course
إختيار الهدف المثالي للحملات الإعلانية على Facebook,"Marketing, Business Essentials",Coursera,,0,1 hour,1.0,Intermediate,ar,https://www.coursera.org/learn/iikhtiar-alhadaf-almithalii-lilhamalat-aliielaniat-ealaa-facebook,Free Audit / Pay for Cert,Individual Course
Negotiation: Remember Levers and Record Notes,"Business Strategy, Personal Development",Coursera,,0,Approximately 90 minutes,1.5,Beginner,en,https://www.coursera.org/learn/negotiation-remember-levers--record-notes,Free Audit / Pay for Cert,Individual Course
Analyze and Create Your AI Marketing Plan,"Marketing, Business Essentials",Coursera,,0,,,Beginner,en,https://www.coursera.org/learn/analyze-and-create-your-ai-marketing-plan,Free Audit / Pay for Cert,Individual Course
Master After Effects: Analyze & Create Dynamic Motion,Design And Product,EDUCBA,,0,,,Beginner,en,https://www.coursera.org/learn/master-after-effects-analyze-create-dynamic-motion,Free Audit / Pay for Cert,Individual Course
Product Management: Developing and Delivering a New Product,"Support And Operations, Leadership And Management",SkillUp,4.7,147,"5 weeks of study, 2-3 hours/week ",12.5,Beginner,en,https://www.coursera.org/learn/product-management-developing-and-delivering-a-new-product,Free Audit / Pay for Cert,Individual Course
